# Oś czasu CAN — dosłowne linie z logów terminala z 2026-04-10 (7 plików PQ35_TERMINAL_LOG_*.txt).
# Format: opóźnienie_ms przed wysłaniem ramki | ramka (jak z bridge).
# Opóźnienia z różnic timestampów w obrębie segmentu, skala 0.35, clamp 2–45 ms; między plikami — cięte (nowy segment).

# --- 17:44 — postój, magistrala bez prędkości (brak 0x351/0x359 w tym fragmencie) — PQ35_TERMINAL_LOG_2026-04-10_17-44-59.txt linie 6-95 ---
2|0x527: 10 A1 39 60 7A 6D 6D 00
2|0x555: E8 39 7E 85 84 00 00 94
2|0x35B: 00 50 20 B9 08 1E C2 DB
10|0x351: 00 C0 39 00 00 00 00 00
3|0x359: 18 C3 39 E9 0E 2B 00 00
3|0x151: 00 F0 28 D8
5|0x3C3: A8 80 00 00 80 80 00 57
2|0x555: E8 39 7E 03 84 00 00 94
2|0x42B: 0B 02 00 40 00 00
4|0x35B: 00 7C 20 B9 08 1E C2 DC
15|0x42B: 0B 01 00 00 00 00
2|0x351: 00 FA 39 00 00 00 00 00
8|0x359: 18 C9 39 44 0F 2B 00 00
2|0x65F: 02 57 35 33 31 31 33 35
5|0x151: 00 F0 78 88
2|0x3C3: A8 80 00 00 80 20 00 B7
2|0x527: 10 EF 39 60 7A 6D 6D 00
2|0x555: E8 3A 7E 81 84 00 00 94
2|0x35B: 00 70 20 B9 08 1E C2 DC
13|0x351: 00 04 3A 00 00 00 00 00
4|0x359: 18 FD 39 9E 0F 2B 00 00
3|0x151: 00 F0 C8 38
7|0x3C3: A8 80 00 00 80 B0 00 27
2|0x42B: 0B 02 00 40 00 00
8|0x555: E8 3A 7E 86 84 00 00 94
4|0x35B: 00 80 20 B9 08 1E C2 DD
7|0x42B: 0B 01 00 00 00 00
6|0x351: 00 0E 3A 00 00 00 00 00
4|0x359: 18 F5 39 F9 0F 2B 00 00
2|0x65F: 00 00 00 00 00 57 56 57
3|0x151: 00 F0 18 E8
2|0x3C3: A8 80 00 00 80 50 00 87
2|0x527: 10 D1 39 60 7A 6D 6D 00
2|0x555: E8 3A 7E 03 84 00 00 94
2|0x65D: BF 76 78 04 00 40 83 0B
2|0x35B: 00 64 20 B9 08 1E C2 DD
12|0x351: 00 FE 39 00 00 00 00 00
10|0x359: 18 F1 39 53 08 2B 00 00
2|0x42B: 0B 02 00 40 00 00
2|0x151: 00 F0 68 98
2|0x3C3: CC 80 00 00 80 F0 00 C3
2|0x555: E8 3A 7E 07 84 00 00 94
3|0x35B: 00 98 20 B9 08 1E C2 DE
10|0x42B: 0B 01 00 00 00 00
5|0x351: 00 22 3A 00 00 00 00 00
5|0x359: 18 15 3A AE 08 2B 00 00
11|0x65F: 01 5A 5A 5A 31 4B 5A 36
6|0x151: 00 F0 B8 48
2|0x3C3: CC 80 00 00 80 90 00 23
2|0x527: 10 29 3A 60 7A 6D 6D 00
2|0x555: E8 37 7E 82 84 00 00 94
9|0x351: 00 20 3A 00 00 00 00 00
4|0x42B: 0B 02 00 40 00 00
3|0x359: 18 2B 3A 09 09 2B 00 00
2|0x151: 00 F0 08 F8
5|0x3C3: CC 80 00 00 80 30 00 83
5|0x555: E8 37 7E 06 83 00 00 94
2|0x35B: 00 A4 20 B9 08 1E C2 DF
5|0x42B: 0B 01 00 00 00 00
10|0x351: 00 04 3A 00 00 00 00 00
3|0x359: 18 21 3A 63 09 2B 00 00
5|0x65F: 02 57 35 33 31 31 33 35
2|0x151: 00 F0 58 A8
4|0x3C3: CC 80 00 00 80 D0 00 E3
2|0x527: 10 25 3A 60 7A 6D 6D 00
2|0x555: E8 37 7E 01 83 00 00 94
4|0x35B: 00 84 20 B9 08 1E C2 DF
12|0x351: 00 1A 3A 00 00 00 00 00
5|0x42B: 0B 02 00 40 00 00
2|0x359: 18 37 3A BF 09 2B 00 00
3|0x151: 00 F0 A8 58
5|0x3C3: A8 80 54 01 80 70 00 12
8|0x555: E8 37 7E 03 83 00 00 94

# --- 20:13 — wysokie wartości 0x351 — PQ35_TERMINAL_LOG_2026-04-10_18-14-01.txt linie 6-130 ---
